Sample	'Sample_methylation_levels.bed'
Monocytes_EPIC	0.13968769622229088
B-cells_EPIC	2.3459450124676746e-13
CD4T-cells_EPIC	2.6713382826931786e-13
NK-cells_EPIC	0.0668604385514812
CD8T-cells_EPIC	3.6235038334444755e-13
Neutrophils_EPIC	0.3539611325981858
Erythrocyte_progenitors	0.26839049220618355
Adipocytes	0.02174668549048001
Cortical_neurons	2.8735167892987606e-13
Hepatocytes	3.7815113286781655e-13
Lung_cells	1.301227428405167e-13
Pancreatic_beta_cells	1.7635622154301604e-13
Pancreatic_acinar_cells	2.131069687658763e-13
Pancreatic_duct_cells	2.522816316179238e-13
Vascular_endothelial_cells	2.3755884099781663e-14
Colon_epithelial_cells	2.1681491082925268e-14
Left_atrium	0.017256553334539914
Bladder	0.004279128680216845
Breast	1.4746876881798842e-13
Head_and_neck_larynx	0.003988594956173262
Kidney	0.014917511416437467
Prostate	2.0030797850379881e-13
Thyroid	1.4678931403352564e-13
Upper_GI	1.5636503520289913e-13
Uterus_cervix	3.530163149974803e-14
